                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9331,                  3.754,                 4.2504,                  6e-05,                0.00118,                  3e-05,                      0,                 4.9303,                 3.7244,                  4.157,                 0.0973,                 0.0003,                 0.0003
                      2,                 4.8218,                 3.6263,                 4.1469,                 0.0008,                0.01647,                0.00044,                0.00012,                 4.3745,                 3.2499,                  3.802,               0.093698,             0.00069769,             0.00069769
                      3,                 4.3025,                  3.168,                 3.7208,                0.00155,                0.03176,                0.00088,                0.00029,                 3.7854,                 2.9924,                 3.4706,               0.090093,              0.0010927,              0.0010927
                      4,                 3.7888,                 2.9432,                 3.3197,                0.00086,                0.01765,                0.00045,                0.00015,                 3.5332,                    2.9,                  3.148,               0.086485,              0.0014851,              0.0014851
                      5,                 3.6764,                 3.0289,                 2.9836,                0.00057,                0.01176,                 0.0003,                0.00011,                 3.4737,                 3.1997,                 2.9424,               0.082875,              0.0018749,              0.0018749
                      6,                 3.6014,                 2.9719,                 2.8038,                0.00046,                0.00941,                0.00023,                  9e-05,                 3.3973,                 3.1813,                 2.7392,               0.079262,              0.0022621,              0.0022621
                      7,                 3.5528,                 2.8425,                  2.685,                0.00184,                0.03765,                0.00096,                0.00034,                  3.355,                 3.0962,                 2.6162,               0.075647,              0.0026465,              0.0026465
                      8,                 3.4809,                 2.6625,                 2.5859,                0.00155,                0.03176,                0.00081,                 0.0003,                 3.3255,                  3.242,                 2.5786,               0.072028,              0.0030284,              0.0030284
                      9,                 3.3554,                 2.4874,                 2.5137,                0.01471,                0.30118,                 0.0157,                0.00451,                 3.3106,                 3.2503,                 2.5824,               0.068408,              0.0034076,              0.0034076
                     10,                 3.2353,                 2.3807,                 2.4718,                 0.0158,                0.32353,                0.01626,                0.00424,                 3.3047,                 3.2932,                 2.5623,               0.064784,              0.0037842,              0.0037842
                     11,                 3.1264,                  2.291,                 2.4022,                0.00109,                0.02235,                0.00057,                0.00014,                 3.3383,                 3.3315,                 2.5617,               0.061158,              0.0041581,              0.0041581
                     12,                  3.037,                 2.2269,                 2.3198,                0.00063,                0.01294,                0.00032,                 0.0001,                  3.375,                  3.475,                 2.5364,               0.057529,              0.0045294,              0.0045294
                     13,                 2.9269,                 2.1142,                 2.2837,                0.00029,                0.00588,                0.00015,                  2e-05,                 3.4412,                 3.5287,                 2.5546,               0.053898,               0.004898,               0.004898
                     14,                 2.8615,                 2.0326,                 2.2239,                0.00057,                0.01176,                0.00047,                  8e-05,                 3.5316,                 3.5062,                 2.5655,               0.050264,               0.005264,               0.005264
                     15,                 2.7836,                  1.987,                 2.1759,                0.01259,                0.25765,                0.00799,                0.00222,                 3.5686,                 3.4255,                 2.5451,               0.046627,              0.0056274,              0.0056274
                     16,                 2.7535,                  1.944,                 2.1437,                0.01115,                0.22824,                0.00687,                0.00185,                  3.653,                 3.1952,                 2.5903,               0.042988,              0.0059881,              0.0059881
                     17,                 2.6168,                 1.8766,                 2.0745,                 0.0196,                0.14471,                0.01219,                 0.0034,                 3.6191,                 3.6859,                  2.663,               0.039346,              0.0063462,              0.0063462
                     18,                  2.596,                 1.8559,                 2.0344,                 0.0196,                0.14471,                0.01219,                 0.0034,                 3.5611,                 3.9508,                 2.6537,               0.035702,              0.0067017,              0.0067017
                     19,                 2.6345,                 1.8551,                 2.0634,                 0.0196,                0.14471,                0.01219,                 0.0034,                 3.5706,                 4.1007,                 2.7056,               0.032054,              0.0070545,              0.0070545
                     20,                 2.5235,                 1.8375,                 1.9803,                 0.0196,                0.14471,                0.01219,                 0.0034,                 3.7423,                 4.3031,                 3.0079,               0.028405,              0.0074047,              0.0074047
                     21,                 2.4874,                 1.8241,                 1.9601,                0.00015,                0.00118,                  8e-05,                  1e-05,                 3.7009,                 4.2095,                 2.8731,               0.024752,              0.0077522,              0.0077522
                     22,                 2.4422,                 1.7787,                 1.9088,                0.00075,                0.00353,                0.00071,                0.00035,                 3.5111,                 4.0987,                 2.7041,               0.021097,              0.0080971,              0.0080971
                     23,                  2.404,                 1.7388,                 1.9082,                 0.1217,                0.03059,                0.02432,                0.00726,                 3.2028,                 3.7831,                 2.4073,               0.017439,              0.0084393,              0.0084393
                     24,                 2.3661,                    1.7,                 1.8734,                0.16282,                0.07688,                0.05557,                  0.016,                 2.9658,                 3.3607,                 2.2691,               0.013779,               0.008779,               0.008779
                     25,                 2.3443,                 1.7245,                 1.8582,                0.19989,                0.08118,                 0.0769,                0.02188,                 2.9122,                 3.2812,                 2.1964,               0.010116,              0.0091159,              0.0091159
                     26,                 2.2836,                 1.6879,                 1.8317,                0.40151,                0.07412,                0.12876,                0.04069,                 2.9227,                 3.2703,                 2.3202,               0.009175,               0.009175,               0.009175
                     27,                 2.2854,                  1.659,                 1.8231,                0.27847,                0.11647,                0.09012,                0.02966,                 2.8735,                 3.3057,                 2.6185,               0.009175,               0.009175,               0.009175
                     28,                 2.2231,                 1.6063,                  1.766,                0.40959,                0.28118,                0.26674,                0.08766,                  2.693,                 2.5566,                  2.169,               0.009142,               0.009142,               0.009142
                     29,                 2.2328,                 1.6076,                   1.76,                0.40123,                0.37412,                0.33584,                0.12149,                 2.3539,                 1.9395,                 2.0769,               0.009109,               0.009109,               0.009109
                     30,                 2.1548,                 1.5525,                 1.7106,                0.33226,                0.29412,                0.23017,                0.06746,                 2.6783,                  2.438,                 2.3746,               0.009076,               0.009076,               0.009076
                     31,                 2.1236,                 1.5476,                 1.7099,                0.44604,                 0.4168,                0.38951,                0.13765,                 2.3371,                 1.9044,                 2.0005,               0.009043,               0.009043,               0.009043
                     32,                 2.1435,                 1.5482,                 1.6804,                 0.4341,                0.46117,                0.41272,                0.15985,                 2.2321,                 1.7909,                 1.9958,                0.00901,                0.00901,                0.00901
                     33,                 2.1005,                 1.5265,                 1.6675,                0.40715,                0.42706,                0.33637,                0.11667,                 2.3978,                 1.9365,                 2.0783,               0.008977,               0.008977,               0.008977
                     34,                 2.1061,                 1.5135,                 1.6523,                0.40596,                0.31412,                0.28648,                0.09449,                 2.4275,                 2.4433,                 2.0372,               0.008944,               0.008944,               0.008944
                     35,                 2.0509,                 1.4847,                 1.6341,                0.45888,                0.38706,                0.38726,                0.13981,                 2.2871,                 1.9839,                 2.0177,               0.008911,               0.008911,               0.008911
                     36,                 1.9978,                 1.4642,                 1.6134,                0.50997,                0.39059,                0.39818,                0.14493,                 2.2824,                 1.9215,                 1.9235,               0.008878,               0.008878,               0.008878
                     37,                 1.9939,                 1.4739,                 1.6131,                0.43369,                0.49882,                0.43351,                0.16392,                 2.0963,                 1.7399,                 1.8045,               0.008845,               0.008845,               0.008845
                     38,                 1.9385,                 1.4426,                  1.589,                0.44571,                0.38353,                0.35701,                0.12246,                 2.3522,                  1.976,                 2.0132,               0.008812,               0.008812,               0.008812
                     39,                 1.9588,                  1.432,                 1.5929,                 0.4832,                0.41882,                0.39656,                0.14551,                 2.2304,                 1.9434,                 1.8968,               0.008779,               0.008779,               0.008779
                     40,                 1.9254,                 1.4024,                 1.5675,                 0.4569,                0.37709,                 0.3539,                 0.1219,                 2.2898,                 2.1122,                 1.9495,               0.008746,               0.008746,               0.008746
                     41,                 1.9228,                  1.383,                 1.5605,                 0.5362,                   0.32,                 0.3187,                0.12984,                 2.2491,                  2.242,                 1.9917,               0.008713,               0.008713,               0.008713
                     42,                 1.8929,                 1.3771,                 1.5415,                0.56091,                0.29647,                0.30032,                0.11635,                 2.3337,                 2.3532,                    2.1,                0.00868,                0.00868,                0.00868
                     43,                  1.872,                 1.3772,                 1.5562,                  0.182,                0.13882,                0.06934,                0.02712,                 2.2965,                 2.8614,                 2.0243,               0.008647,               0.008647,               0.008647
                     44,                 1.8873,                 1.3881,                 1.5533,                0.47726,                0.28588,                 0.2709,                0.11249,                 2.1474,                 2.2717,                 1.8993,               0.008614,               0.008614,               0.008614
                     45,                 1.8752,                 1.3626,                 1.5562,                0.09808,                0.11176,                0.03768,                0.01605,                 2.3975,                 3.1605,                 2.1947,               0.008581,               0.008581,               0.008581
                     46,                 1.8502,                 1.3363,                 1.5238,                0.38546,                0.28118,                0.20825,                 0.0797,                 2.2736,                 2.3816,                 2.0378,               0.008548,               0.008548,               0.008548
                     47,                 1.8585,                 1.3411,                 1.5209,                0.51135,                0.45176,                0.36602,                0.13379,                 2.1579,                 1.8808,                 1.8709,               0.008515,               0.008515,               0.008515
                     48,                 1.8524,                 1.3479,                 1.5178,                 0.4508,                0.45647,                0.31984,                0.12884,                 2.1101,                 1.9095,                 1.8661,               0.008482,               0.008482,               0.008482
                     49,                 1.8937,                 1.3706,                  1.554,                0.29693,                0.43882,                0.21085,                0.08321,                 2.2229,                 2.3207,                  1.874,               0.008449,               0.008449,               0.008449
                     50,                 1.8268,                 1.3212,                 1.5205,                0.43136,                0.50588,                0.34444,                0.14123,                 2.0155,                 1.9244,                 1.7731,               0.008416,               0.008416,               0.008416
                     51,                 1.8277,                 1.3284,                 1.5093,                0.31382,                0.33765,                0.18595,                 0.0713,                 2.1601,                 2.3244,                 1.8836,               0.008383,               0.008383,               0.008383
                     52,                 1.7953,                 1.2933,                  1.486,                0.40847,                0.31647,                0.28428,                0.12134,                 2.1637,                 2.0513,                 1.9827,                0.00835,                0.00835,                0.00835
                     53,                 1.7708,                 1.2868,                 1.4711,                0.22367,                0.31765,                0.14809,                0.05991,                 2.1503,                 2.2364,                 1.9737,               0.008317,               0.008317,               0.008317
                     54,                 1.8173,                 1.2772,                 1.4759,                 0.5884,                0.43896,                0.45633,                0.18439,                 2.1458,                 1.8985,                 1.9143,               0.008284,               0.008284,               0.008284
                     55,                 1.8212,                 1.2766,                 1.4929,                0.60766,                0.51647,                0.52901,                 0.2167,                 2.0327,                 1.7358,                 1.7792,               0.008251,               0.008251,               0.008251
                     56,                 1.7716,                 1.3069,                 1.4898,                0.59587,                0.45412,                0.44674,                0.18323,                 2.0858,                 1.9226,                 1.7936,               0.008218,               0.008218,               0.008218
                     57,                 1.7824,                 1.2988,                 1.4844,                0.67279,                0.53882,                0.60786,                0.26767,                 1.9289,                 1.5199,                 1.6678,               0.008185,               0.008185,               0.008185
                     58,                 1.7509,                 1.2858,                 1.4783,                0.55121,                0.52588,                0.50316,                0.22031,                 1.9194,                 1.6441,                 1.6559,               0.008152,               0.008152,               0.008152
                     59,                 1.7468,                 1.2722,                 1.4633,                0.54632,                0.49529,                0.49668,                0.22394,                 1.8903,                 1.6056,                 1.6305,               0.008119,               0.008119,               0.008119
                     60,                 1.7486,                 1.2418,                 1.4471,                0.47849,                   0.42,                0.35955,                0.15561,                 2.0239,                 1.7682,                 1.7333,               0.008086,               0.008086,               0.008086
                     61,                 1.7443,                  1.242,                   1.45,                0.60266,                   0.46,                0.48023,                0.20078,                 1.9811,                  1.776,                 1.6995,               0.008053,               0.008053,               0.008053
                     62,                 1.7269,                 1.2314,                 1.4583,                0.51506,                0.42471,                0.41053,                0.17247,                 1.9923,                 1.9032,                 1.6956,                0.00802,                0.00802,                0.00802
                     63,                 1.7239,                 1.2438,                 1.4527,                0.53963,                   0.44,                0.46924,                0.19469,                 2.0176,                 1.7674,                 1.7234,               0.007987,               0.007987,               0.007987
                     64,                 1.7132,                 1.2069,                 1.4376,                0.45816,                0.37059,                0.34666,                0.14457,                 2.1866,                 2.0263,                 1.8604,               0.007954,               0.007954,               0.007954
                     65,                   1.72,                 1.2218,                 1.4512,                0.48124,                0.41473,                0.39148,                0.16054,                  2.101,                 1.8933,                 1.7868,               0.007921,               0.007921,               0.007921
                     66,                 1.7143,                 1.2396,                  1.437,                0.62772,                0.47213,                0.51177,                0.23417,                 1.9249,                 1.6445,                 1.7056,               0.007888,               0.007888,               0.007888
                     67,                 1.7308,                 1.2654,                 1.4491,                 0.4505,                0.35647,                 0.3462,                0.14005,                 2.1596,                 2.0661,                  1.868,               0.007855,               0.007855,               0.007855
                     68,                 1.7503,                  1.232,                 1.4459,                0.67451,                0.57647,                0.62938,                0.28948,                 1.8538,                 1.4412,                 1.6352,               0.007822,               0.007822,               0.007822
                     69,                 1.7534,                  1.258,                 1.4602,                0.70566,                0.56353,                0.64566,                0.30214,                 1.8754,                 1.3717,                 1.6258,               0.007789,               0.007789,               0.007789
                     70,                 1.7348,                 1.2032,                 1.4232,                0.64796,                0.55412,                0.60008,                0.26763,                 1.9328,                 1.5352,                 1.6586,               0.007756,               0.007756,               0.007756
                     71,                 1.7027,                 1.2201,                 1.4191,                0.57701,                   0.52,                0.53111,                0.25103,                 1.8891,                 1.6108,                 1.6298,               0.007723,               0.007723,               0.007723
                     72,                 1.6767,                 1.1887,                 1.4086,                0.70395,                0.55948,                0.63991,                0.30173,                 1.8412,                  1.359,                 1.6185,                0.00769,                0.00769,                0.00769
                     73,                 1.6487,                 1.1882,                 1.4108,                0.58809,                0.53918,                0.56017,                0.26645,                 1.7947,                 1.4539,                 1.5596,               0.007657,               0.007657,               0.007657
                     74,                  1.635,                 1.1695,                 1.3888,                0.61345,                0.52091,                0.56007,                0.26103,                 1.8596,                 1.6211,                 1.6255,               0.007624,               0.007624,               0.007624
                     75,                 1.6562,                 1.1532,                 1.3954,                 0.4697,                0.39647,                0.38208,                0.15643,                 2.1012,                 2.1441,                   1.81,               0.007591,               0.007591,               0.007591
                     76,                  1.683,                 1.1927,                 1.4213,                0.61961,                0.50353,                0.55692,                0.24373,                 1.9821,                 1.7075,                 1.6981,               0.007558,               0.007558,               0.007558
                     77,                 1.6756,                 1.1803,                 1.4148,                0.68025,                0.55412,                0.61068,                0.27585,                 1.8994,                  1.516,                 1.6546,               0.007525,               0.007525,               0.007525
                     78,                 1.6403,                 1.1483,                 1.3759,                0.41981,                0.33882,                  0.303,                0.12013,                 2.2381,                 2.3357,                 1.8814,               0.007492,               0.007492,               0.007492
                     79,                 1.6517,                 1.1442,                 1.3821,                0.69037,                0.55873,                0.61947,                0.28514,                 1.8618,                 1.4887,                 1.6062,               0.007459,               0.007459,               0.007459
                     80,                 1.6319,                 1.1597,                 1.4096,                0.46879,                0.44235,                0.41544,                0.16303,                 2.1342,                 1.9595,                 1.8338,               0.007426,               0.007426,               0.007426
                     81,                 1.6033,                  1.137,                 1.3748,                  0.551,                0.46706,                0.48158,                0.20714,                 2.0025,                  1.755,                 1.7089,               0.007393,               0.007393,               0.007393
                     82,                 1.6596,                 1.1596,                 1.3823,                0.52197,                0.37176,                0.38631,                0.14988,                 2.2276,                 2.1312,                 1.8726,                0.00736,                0.00736,                0.00736
                     83,                 1.6398,                 1.1422,                 1.3889,                0.62433,                0.48824,                0.54191,                0.23174,                 2.0174,                 1.6592,                 1.7248,               0.007327,               0.007327,               0.007327
                     84,                 1.6295,                 1.1598,                 1.4004,                0.67125,                0.46843,                0.52927,                0.23401,                 2.0015,                 1.7182,                 1.6997,               0.007294,               0.007294,               0.007294
                     85,                 1.5809,                 1.1224,                 1.3691,                0.63318,                0.49765,                0.56566,                0.27155,                  1.942,                 1.6534,                 1.6313,               0.007261,               0.007261,               0.007261
                     86,                 1.6074,                 1.1307,                 1.3747,                0.67701,                0.53758,                 0.5917,                0.28377,                 1.8735,                 1.6605,                 1.6061,               0.007228,               0.007228,               0.007228
                     87,                 1.6254,                 1.1289,                 1.3808,                0.69621,                0.56235,                0.63198,                 0.3011,                  1.886,                 1.5344,                 1.6122,               0.007195,               0.007195,               0.007195
                     88,                 1.6152,                 1.1181,                 1.3725,                0.70801,                0.61046,                0.67561,                0.32668,                 1.8428,                 1.3752,                 1.5686,               0.007162,               0.007162,               0.007162
                     89,                 1.6148,                  1.119,                 1.3709,                0.75126,                0.59882,                0.69813,                0.35658,                 1.7785,                 1.3052,                  1.521,               0.007129,               0.007129,               0.007129
                     90,                 1.5861,                 1.1018,                 1.3567,                0.74232,                0.61345,                 0.7029,                0.36364,                 1.7648,                 1.3322,                 1.5152,               0.007096,               0.007096,               0.007096
                     91,                 1.5816,                 1.1068,                 1.3618,                0.71738,                    0.6,                0.66004,                0.32669,                 1.8287,                 1.4968,                 1.5678,               0.007063,               0.007063,               0.007063
                     92,                 1.5747,                 1.0863,                 1.3571,                0.68808,                0.61246,                0.66254,                0.33769,                 1.8451,                 1.4637,                 1.5656,                0.00703,                0.00703,                0.00703
                     93,                 1.5813,                 1.1057,                 1.3569,                0.73362,                0.64118,                0.70845,                0.36855,                 1.7697,                 1.2971,                 1.5385,               0.006997,               0.006997,               0.006997
                     94,                 1.6259,                 1.1109,                 1.3635,                0.76221,                0.59176,                0.68983,                0.34934,                 1.8268,                 1.3355,                 1.5634,               0.006964,               0.006964,               0.006964
                     95,                 1.6295,                 1.1152,                 1.3715,                0.71193,                0.62824,                0.70292,                0.36819,                 1.7484,                 1.3321,                  1.525,               0.006931,               0.006931,               0.006931
                     96,                 1.5945,                 1.1071,                  1.365,                0.70992,                0.65357,                0.71815,                0.37524,                 1.7214,                 1.3034,                 1.5133,               0.006898,               0.006898,               0.006898
                     97,                 1.5775,                 1.0862,                 1.3527,                0.71869,                0.64235,                0.70767,                0.35616,                  1.769,                 1.2699,                 1.5544,               0.006865,               0.006865,               0.006865
                     98,                 1.6186,                 1.0987,                 1.3738,                0.68147,                0.65765,                0.69452,                0.34498,                 1.7959,                 1.1955,                 1.5408,               0.006832,               0.006832,               0.006832
                     99,                 1.5524,                 1.0753,                 1.3376,                0.75973,                0.60471,                0.70631,                  0.361,                 1.6822,                 1.3038,                 1.4693,               0.006799,               0.006799,               0.006799
                    100,                 1.5646,                  1.085,                  1.344,                0.66712,                0.66235,                0.66407,                0.32445,                 1.7516,                 1.2452,                 1.5215,               0.006766,               0.006766,               0.006766
                    101,                 1.5709,                 1.0576,                 1.3356,                 0.7275,                0.62503,                0.71166,                0.35959,                 1.7127,                  1.356,                  1.458,               0.006733,               0.006733,               0.006733
                    102,                 1.5569,                 1.0678,                 1.3231,                0.69793,                0.64706,                0.69359,                0.35119,                 1.7024,                 1.2869,                 1.4655,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.5497,                 1.0556,                 1.3305,                 0.7032,                0.64387,                0.72443,                0.37211,                 1.6971,                 1.2185,                 1.4899,               0.006667,               0.006667,               0.006667
                    104,                 1.5175,                 1.0431,                  1.324,                 0.6987,                0.59882,                0.67922,                 0.3447,                 1.7212,                 1.3146,                 1.5042,               0.006634,               0.006634,               0.006634
                    105,                 1.5391,                 1.0389,                 1.3155,                0.70085,                0.63944,                 0.7058,                0.35761,                 1.7202,                 1.2935,                 1.4823,               0.006601,               0.006601,               0.006601
                    106,                 1.5595,                 1.0316,                  1.327,                0.66674,                0.58941,                0.64729,                0.32608,                 1.7443,                 1.3181,                 1.5365,               0.006568,               0.006568,               0.006568
                    107,                 1.5373,                 1.0473,                 1.3256,                0.75218,                0.65176,                0.73311,                0.37376,                 1.7191,                  1.244,                 1.5061,               0.006535,               0.006535,               0.006535
                    108,                 1.5495,                  1.044,                 1.3161,                0.65639,                0.67412,                0.69802,                 0.3428,                 1.7758,                 1.2241,                 1.5612,               0.006502,               0.006502,               0.006502
                    109,                 1.5407,                 1.0364,                 1.3306,                0.78873,                 0.6632,                0.75983,                0.39099,                 1.6511,                 1.1344,                 1.4544,               0.006469,               0.006469,               0.006469
                    110,                 1.5467,                 1.0367,                 1.3175,                0.72926,                0.63697,                0.71785,                0.36414,                 1.7074,                 1.1926,                 1.4987,               0.006436,               0.006436,               0.006436
                    111,                 1.5457,                 1.0441,                 1.3204,                0.75684,                0.68471,                0.75537,                 0.3858,                 1.6982,                 1.1596,                 1.4771,               0.006403,               0.006403,               0.006403
                    112,                 1.5061,                 1.0137,                 1.3002,                0.75613,                0.66941,                0.75438,                0.39691,                 1.6205,                 1.1516,                 1.4392,                0.00637,                0.00637,                0.00637
                    113,                  1.506,                 1.0199,                 1.3016,                0.73443,                0.64096,                0.73999,                 0.3781,                 1.6513,                 1.1654,                 1.4742,               0.006337,               0.006337,               0.006337
                    114,                 1.4879,                 1.0031,                 1.3058,                0.76599,                0.69529,                0.77076,                0.39677,                 1.6552,                 1.1253,                 1.4648,               0.006304,               0.006304,               0.006304
                    115,                 1.5098,                 1.0188,                 1.3111,                0.73893,                0.64353,                0.73525,                0.38287,                 1.6629,                 1.1761,                 1.4458,               0.006271,               0.006271,               0.006271
                    116,                 1.5389,                 1.0317,                 1.3198,                0.69496,                0.59234,                0.64629,                 0.3098,                 1.8123,                 1.3465,                 1.5653,               0.006238,               0.006238,               0.006238
                    117,                 1.5139,                 1.0188,                 1.3151,                0.67536,                0.65294,                0.70698,                0.35599,                  1.744,                 1.2683,                 1.5028,               0.006205,               0.006205,               0.006205
                    118,                 1.5424,                 1.0198,                 1.3039,                0.76353,                0.61917,                 0.7293,                0.36826,                 1.7418,                 1.1799,                 1.5069,               0.006172,               0.006172,               0.006172
                    119,                 1.5452,                 1.0278,                 1.3145,                0.70063,                0.64979,                0.71178,                 0.3314,                 1.8085,                 1.2452,                 1.5302,               0.006139,               0.006139,               0.006139
                    120,                 1.5403,                 1.0127,                  1.314,                0.70399,                0.61882,                0.69211,                0.35021,                 1.7175,                 1.2805,                 1.4956,               0.006106,               0.006106,               0.006106
                    121,                 1.5272,                 1.0108,                 1.3085,                0.73569,                0.62118,                0.71941,                0.36831,                 1.7102,                 1.2297,                 1.4747,               0.006073,               0.006073,               0.006073
                    122,                 1.5016,                   1.01,                  1.295,                0.76045,                0.67226,                0.74702,                0.39953,                 1.6515,                 1.1489,                 1.4498,                0.00604,                0.00604,                0.00604
                    123,                 1.4706,                0.98036,                 1.2927,                0.74395,                0.65529,                0.74016,                0.38404,                 1.6929,                 1.1332,                 1.4971,               0.006007,               0.006007,               0.006007
                    124,                 1.4779,                0.99257,                 1.2951,                0.77118,                0.68593,                0.75521,                0.39559,                 1.6422,                 1.1323,                 1.4776,               0.005974,               0.005974,               0.005974
